Fecha,Representante,CódigoProducto,Unidades,,,,
1/1/2020,Isabel Crespo,B00F3J4B5S,4,,,,
1/2/2020,Cecilia Manrique,B018IZ0SWI,2,,,,
1/2/2020,Isabel Crespo,B01DZJFWNC,1,,,Fecha,Fecha de venta
1/2/2020,Sagrario Silva,B01DZJFWNC,2,,,Representante,Representate realizó la venta (Vendedor)
1/2/2020,teodoro jurado,B016381QZA,4,,,CódigoProducto,Código de producto
1/3/2020,Teodoro Jurado,B00J0O5J4Y,2,,,Unidades,Unidades vendidas
1/3/2020,Teodoro Jurado,B01KBH547A,3,,,,
1/4/2020,Maximiliano Ruiz,B00K15Q2B0,15,,,,
1/4/2020,Daniel Piedra,B00NQGP42Y,2,,,,
1/4/2020,Salvador Olivares,B00NQGP42Y,2,,,,
1/4/2020,Raquel Gómez,B01LQV1YHO,2,,,,
1/4/2020,Cristina Fábregas,B01KBH547A,2,,,,
1/4/2020,Andrés Mejía,B00F3J4B5S,6,,,,
1/5/2020,Domingo González,B00J0O5J4Y,4,,,,
1/5/2020,Lázaro Zepeda,B01KBH547A,3,,,,
1/5/2020,Sagrario Silva,B00NQGP42Y,2,,,,
1/5/2020,Germán Herrera,B01KBH547A,1,,,,
1/5/2020,Rubén Núñez,B018IZ0SWI,19,,,,
1/5/2020,Beatriz Troncoso,B00NQGP42Y,3,,,,
1/5/2020,Mariana Hinojosa,B00J0O5J4Y,2,,,,
1/5/2020,Carla Méndez,B018IZ0SWI,1,,,,
1/5/2020,Bruna Hernández,B018IZ0SWI,2,,,,
1/5/2020,Bárbara Peñalosa,B01EYT1URO,3,,,,
1/6/2020,Raquel Gómez,B01EYT1URO,2,,,,
1/6/2020,Silvestre Morales,B018IZ0SWI,1,,,,
1/7/2020,Kenya Carrillo,B00NQGP42Y,2,,,,
1/7/2020,Salvador Olivares,B01LQV1YHO,1,,,,
1/7/2020,Teodoro Jurado,B00NQGP42Y,2,,,,
1/7/2020,Bruna Hernández,B01EYT1URO,2,,,,
1/7/2020,Mariana Hinojosa,B00K15Q2B0,1,,,,
1/7/2020,Teresa Rivero,B01DZJFWNC,3,,,,
1/7/2020,Teodoro Jurado,B016381QZA,1,,,,
1/8/2020,Arturo Franco,B018IZ0SWI,3,,,,
1/8/2020,Roberto Rodríguez,B018IZ0SWI,2,,,,
1/8/2020,Isabel Crespo,B00F3J4B5S,3,,,,
1/8/2020,Raquel Gómez,B01KBH547A,21,,,,
1/9/2020,Sergio Moreno,B00NQGP42Y,3,,,,
1/9/2020,Sagrario Silva,B00F3J4B5S,2,,,,
1/9/2020,Maximiliano Ruiz,B00F3J4B5S,3,,,,
1/9/2020,Lázaro Zepeda,B01DZJFWNC,2,,,,
1/10/2020,Jenny García,B00J0O5J4Y,1,,,,
1/10/2020,Pedro Huerta,B00J0O5J4Y,2,,,,
1/10/2020,Dafne Rivas,B016B7INC2,3,,,,
1/10/2020,Mariana Hinojosa,B018IZ0SWI,1,,,,
1/11/2020,Rubén Núñez,B01KBH547A,1,,,,
1/11/2020,Magdalena Linares,B016B7INC2,19,,,,
1/11/2020,Cristina Fábregas,B01DZJFWNC,2,,,,
1/11/2020,Bernarda Perdomo,B01KBH547A,1,,,,
1/11/2020,Laura Morales,B00F3J4B5S,2,,,,
1/11/2020,Maité Gordillo,B016381QZA,2,,,,
1/11/2020,Casandra Fernández,B016B7INC2,2,,,,
1/11/2020,Eric Rivera,B016B7INC2,3,,,,
1/11/2020,Claudia Olmedo,B00J0O5J4Y,1,,,,
1/12/2020,Cecilia Manrique,B01EYT1URO,2,,,,
1/12/2020,Cecilia Manrique,B00K15Q2B0,1,,,,
1/12/2020,Jaime Pastrana,B01LQV1YHO,1,,,,
1/12/2020,Joana Mejía,B00NQGP42Y,3,,,,
1/12/2020,Daniel Piedra,B015YCRYZM,1,,,,
1/12/2020,Claudia Olmedo,B018IZ0SWI,2,,,,
1/13/2020,Leonor Domínguez,B01KBH547A,2,,,,
1/13/2020,Raquel Gómez,B00NQGP42Y,4,,,,
1/13/2020,Eliseo Martínez,B00F3J4B5S,3,,,,
1/13/2020,Daniel Piedra,B01DZJFWNC,2,,,,
1/14/2020,Casandra Fernández,B01KBH547A,4,,,,
1/14/2020,Sagrario Silva,B01LQV1YHO,2,,,,
1/14/2020,Bruna Hernández,B01KBH547A,15,,,,
1/14/2020,Benjamín Pérez,B01KBH547A,2,,,,
1/14/2020,Sergio Moreno,B00K15Q2B0,1,,,,
1/15/2020,Bernarda Perdomo,B018IZ0SWI,2,,,,
1/15/2020,Dafne Rivas,B01DZJFWNC,3,,,,
1/15/2020,Sagrario Silva,B018IZ0SWI,1,,,,
1/15/2020,Elvira Belmonte,B00NQGP42Y,3,,,,
1/15/2020,Dafne Rivas,B01LQV1YHO,1,,,,
1/15/2020,Raquel Gómez,B01KBH547A,2,,,,
1/16/2020,Dafne Rivas,B00NQGP42Y,2,,,,
1/16/2020,Guillermo Paredes,B01EYT1URO,2,,,,
1/16/2020,Leonor Domínguez,B00K15Q2B0,3,,,,
1/16/2020,Maité Gordillo,B018IZ0SWI,2,,,,
1/17/2020,Teodoro Jurado,B01DZJFWNC,2,,,,
1/17/2020,Maximiliano Ruiz,B00NQGP42Y,3,,,,
1/17/2020,Paulina Iglesias,B00F3J4B5S,2,,,,
1/17/2020,Maité Gordillo,B016B7INC2,1,,,,
1/17/2020,Ernesto Duarte,B00F3J4B5S,1,,,,
1/17/2020,Joana Mejía,B00K15Q2B0,1,,,,
1/17/2020,Salvador Olivares,B018IZ0SWI,2,,,,
1/17/2020,Germán Herrera,B015YCRYZM,3,,,,
1/18/2020,Sagrario Silva,B01LQV1YHO,3,,,,
1/18/2020,Rodrigo Muñoz,B01DZJFWNC,2,,,,
1/18/2020,Elena Uriarte,B01KBH547A,3,,,,
1/18/2020,Roberto Rodríguez,B018IZ0SWI,3,,,,
1/19/2020,Lázaro Zepeda,B016381QZA,3,,,,
1/19/2020,Magdalena Linares,B00K15Q2B0,3,,,,
1/20/2020,Iván Arriola,B00F3J4B5S,1,,,,
1/20/2020,Cristina Fábregas,B00NQGP42Y,3,,,,
1/20/2020,Rodrigo Muñoz,B016381QZA,21,,,,
1/20/2020,Joana Mejía,B018IZ0SWI,2,,,,
1/20/2020,Casandra Fernández,B018IZ0SWI,3,,,,
1/20/2020,Cecilia Manrique,B01LQV1YHO,12,,,,
1/21/2020,Jenny García,B018IZ0SWI,3,,,,
1/21/2020,Jaime Pastrana,B00K15Q2B0,2,,,,
1/21/2020,Raquel Gómez,B00K15Q2B0,2,,,,
1/21/2020,Elena Uriarte,B018IZ0SWI,3,,,,
1/21/2020,Sagrario Silva,B00F3J4B5S,1,,,,
1/21/2020,Eric Rivera,B00F3J4B5S,3,,,,
1/21/2020,Leonor Domínguez,B00K15Q2B0,2,,,,
1/21/2020,Salvador Olivares,B01DZJFWNC,1,,,,
1/22/2020,Elvira Belmonte,B00F3J4B5S,22,,,,
1/22/2020,Magdalena Linares,B01DZJFWNC,2,,,,
1/22/2020,Andrés Mejía,B01KBH547A,1,,,,
1/22/2020,Linet Ramírez,B016381QZA,19,,,,
1/22/2020,Joana Mejía,B00NQGP42Y,1,,,,
1/22/2020,Eliseo Martínez,B018IZ0SWI,2,,,,
1/23/2020,Delia Jiménez,B00NQGP42Y,2,,,,
1/23/2020,Bruno Puente,B01DZJFWNC,2,,,,
1/23/2020,Magdalena Linares,B01LQV1YHO,23,,,,
1/23/2020,Ernesto Duarte,B00F3J4B5S,3,,,,
1/23/2020,Delia Jiménez,B00J0O5J4Y,2,,,,
1/24/2020,Rodrigo Muñoz,B016381QZA,2,,,,
1/24/2020,Cecilia Manrique,B01EYT1URO,11,,,,
1/24/2020,Salvador Olivares,B00F3J4B5S,3,,,,
1/25/2020,Casandra Fernández,B00NQGP42Y,2,,,,
1/25/2020,Laura Morales,B01KBH547A,1,,,,
